
======================================================================
               RELATÓRIO DE TREINAMENTO - PÊNDULO INVERTIDO
======================================================================

--- Hiperparâmetros do Algoritmo Q(λ) ---
Taxa de Aprendizado (ALPHA): 0.05
Fator de Desconto (GAMMA):   0.95
Fator de Decaimento (LAMBDA):  0.8

--- Restrições Físicas ---
Limite de Posição:    1
Limite de Ângulo (rad): 0.5
Limite de Velocidade: 3
Limite de Vel. Angular: 3

--- Parâmetros de Exploração (Epsilon-Greedy) ---
Epsilon Inicial:      1.0
Taxa de Decaimento:   5e-05
Epsilon Mínimo:       0.01

--- Discretização do Espaço de Estados ---
Posição:     6 bins
Ângulo:      10 bins
Velocidade:  6 bins
Vel. Angular:10 bins

--- Configurações Gerais ---
Episódios de Treino: 30000
Passos Máximos por Episódio: 500
======================================================================

Episódio: 100/30000, Recompensa Total: 3.00, Epsilon: 0.9568
Episódio: 200/30000, Recompensa Total: 8.00, Epsilon: 0.9105
Episódio: 300/30000, Recompensa Total: 12.00, Epsilon: 0.8618
Episódio: 400/30000, Recompensa Total: 18.00, Epsilon: 0.8083
Episódio: 500/30000, Recompensa Total: 12.00, Epsilon: 0.7522
Episódio: 600/30000, Recompensa Total: 13.00, Epsilon: 0.6925
Episódio: 700/30000, Recompensa Total: 6.00, Epsilon: 0.6252
Episódio: 800/30000, Recompensa Total: 59.00, Epsilon: 0.5537
Episódio: 900/30000, Recompensa Total: 9.00, Epsilon: 0.4670
Episódio: 1000/30000, Recompensa Total: 28.00, Epsilon: 0.3729
Episódio: 1100/30000, Recompensa Total: 55.00, Epsilon: 0.2384
Episódio: 1200/30000, Recompensa Total: 47.00, Epsilon: 0.0525
Episódio: 1300/30000, Recompensa Total: 54.00, Epsilon: 0.0100
Episódio: 1400/30000, Recompensa Total: 58.00, Epsilon: 0.0100
Episódio: 1500/30000, Recompensa Total: 49.00, Epsilon: 0.0100
Episódio: 1600/30000, Recompensa Total: 62.00, Epsilon: 0.0100
Episódio: 1700/30000, Recompensa Total: 39.00, Epsilon: 0.0100
Episódio: 1800/30000, Recompensa Total: 55.00, Epsilon: 0.0100
Episódio: 1900/30000, Recompensa Total: 44.00, Epsilon: 0.0100
Episódio: 2000/30000, Recompensa Total: 69.00, Epsilon: 0.0100
Episódio: 2100/30000, Recompensa Total: 61.00, Epsilon: 0.0100
Episódio: 2200/30000, Recompensa Total: 43.00, Epsilon: 0.0100
Episódio: 2300/30000, Recompensa Total: 55.00, Epsilon: 0.0100
Episódio: 2400/30000, Recompensa Total: 49.00, Epsilon: 0.0100
Episódio: 2500/30000, Recompensa Total: 35.00, Epsilon: 0.0100
Episódio: 2600/30000, Recompensa Total: 48.00, Epsilon: 0.0100
Episódio: 2700/30000, Recompensa Total: 55.00, Epsilon: 0.0100
Episódio: 2800/30000, Recompensa Total: 91.00, Epsilon: 0.0100
Episódio: 2900/30000, Recompensa Total: 66.00, Epsilon: 0.0100
Episódio: 3000/30000, Recompensa Total: 47.00, Epsilon: 0.0100
Episódio: 3100/30000, Recompensa Total: 63.00, Epsilon: 0.0100
Episódio: 3200/30000, Recompensa Total: 35.00, Epsilon: 0.0100
